spendingType,date,amountOfMoney,description,index,spendingTypeText
"0","3/4/2016","377","","2454","ART"
"6","6/2/2018","163","","2455","SPORT"
"0","2/14/2012","494","","2456","ART"
"8","3/3/2012","1165","","2457","UTILITIES"
"6","3/5/2010","1800","","2458","SPORT"
"4","7/5/2009","299","","2459","SOCIAL_WELFARE"
"2","2/23/2014","1548","","2460","GOVERNANCE"
"3","5/17/2013","1480","","2461","INTERGOVERNMENTAL_TRANSFERS"
"4","5/16/2009","808","","2462","SOCIAL_WELFARE"
"4","6/23/2016","754","","2463","SOCIAL_WELFARE"
"5","2/28/2014","566","","2464","SOCIETY_DEFENCE"
"5","10/1/2018","473","","2465","SOCIETY_DEFENCE"
"3","7/20/2014","1289","","2466","INTERGOVERNMENTAL_TRANSFERS"
"7","5/15/2016","1396","","2467","TRANSPORT_ROADS_HOUSEHOLD"
"4","3/20/2014","314","","2468","SOCIAL_WELFARE"
"0","8/23/2009","1293","","2469","ART"
"5","10/14/2011","1628","","2470","SOCIETY_DEFENCE"
"8","9/22/2012","16","","2471","UTILITIES"
"1","8/26/2018","149","","2472","EDUCATION"
"2","2/19/2013","439","","2473","GOVERNANCE"
"8","7/20/2014","172","","2474","UTILITIES"
"8","6/4/2013","930","","2475","UTILITIES"
"1","11/18/2013","1272","","2476","EDUCATION"
"8","9/17/2012","488","","2477","UTILITIES"
"0","11/6/2010","1336","","2478","ART"
"1","7/18/2010","64","","2479","EDUCATION"
"2","1/13/2011","857","","2480","GOVERNANCE"
"0","9/2/2018","528","","2481","ART"
"8","9/8/2013","1112","","2482","UTILITIES"
"2","5/6/2018","136","","2483","GOVERNANCE"
"2","7/15/2017","1799","","2484","GOVERNANCE"
"1","4/3/2011","1024","","2485","EDUCATION"
"4","5/23/2014","518","","2486","SOCIAL_WELFARE"
"3","4/15/2018","797","","2487","INTERGOVERNMENTAL_TRANSFERS"
"3","7/6/2011","1434","","2488","INTERGOVERNMENTAL_TRANSFERS"
"2","3/17/2015","1025","","2489","GOVERNANCE"
"2","5/18/2010","1391","","2490","GOVERNANCE"
"1","8/17/2009","1365","","2491","EDUCATION"
"3","8/4/2011","408","","2492","INTERGOVERNMENTAL_TRANSFERS"
"2","9/16/2018","1968","","2493","GOVERNANCE"
"8","3/4/2013","512","","2494","UTILITIES"
"4","2/8/2018","1027","","2495","SOCIAL_WELFARE"
"2","3/26/2009","1843","","2496","GOVERNANCE"
"7","7/28/2015","711","","2497","TRANSPORT_ROADS_HOUSEHOLD"
"2","9/27/2018","1433","","2498","GOVERNANCE"
"4","2/21/2010","1363","","2499","SOCIAL_WELFARE"
"3","11/22/2010","1930","","2500","INTERGOVERNMENTAL_TRANSFERS"
"8","7/28/2013","1137","","2501","UTILITIES"
"4","2/2/2018","422","","2502","SOCIAL_WELFARE"
"5","8/3/2016","1559","","2503","SOCIETY_DEFENCE"
"3","10/16/2018","1502","","2504","INTERGOVERNMENTAL_TRANSFERS"
"8","3/18/2015","1869","","2505","UTILITIES"
"3","6/8/2014","1763","","2506","INTERGOVERNMENTAL_TRANSFERS"
"1","10/7/2015","1993","","2507","EDUCATION"
"6","1/5/2014","1108","","2508","SPORT"
"2","1/25/2013","791","","2509","GOVERNANCE"
"2","3/27/2016","413","","2510","GOVERNANCE"
"7","7/24/2010","1014","","2511","TRANSPORT_ROADS_HOUSEHOLD"
"6","1/9/2012","1499","","2512","SPORT"
"7","11/24/2013","840","","2513","TRANSPORT_ROADS_HOUSEHOLD"
"0","10/15/2015","1334","","2514","ART"
"8","1/11/2011","1993","","2515","UTILITIES"
"3","2/28/2010","634","","2516","INTERGOVERNMENTAL_TRANSFERS"
"0","1/27/2011","641","","2517","ART"
"8","8/22/2010","903","","2518","UTILITIES"
"0","7/4/2017","1085","","2519","ART"
"5","10/9/2014","1429","","2520","SOCIETY_DEFENCE"
"0","10/11/2014","1922","","2521","ART"
"8","11/26/2011","1330","","2522","UTILITIES"
"5","11/28/2014","1273","","2523","SOCIETY_DEFENCE"
"5","2/21/2018","254","","2524","SOCIETY_DEFENCE"
"4","5/23/2017","1988","","2525","SOCIAL_WELFARE"
"5","10/15/2015","49","","2526","SOCIETY_DEFENCE"
"1","4/20/2016","1519","","2527","EDUCATION"
"8","6/19/2013","1177","","2528","UTILITIES"
"4","4/1/2016","613","","2529","SOCIAL_WELFARE"
"2","11/13/2013","1411","","2530","GOVERNANCE"
"0","4/28/2015","1123","","2531","ART"
"0","2/19/2014","784","","2532","ART"
"6","11/3/2015","825","","2533","SPORT"
"7","1/13/2013","1750","","2534","TRANSPORT_ROADS_HOUSEHOLD"
"2","9/21/2016","851","","2535","GOVERNANCE"
"0","4/1/2017","1358","","2536","ART"
"4","6/13/2011","317","","2537","SOCIAL_WELFARE"
"4","2/23/2014","255","","2538","SOCIAL_WELFARE"
"5","5/16/2014","89","","2539","SOCIETY_DEFENCE"
"3","11/8/2015","1409","","2540","INTERGOVERNMENTAL_TRANSFERS"
"5","7/26/2010","384","","2541","SOCIETY_DEFENCE"
"4","9/3/2018","602","","2542","SOCIAL_WELFARE"
"2","8/28/2013","438","","2543","GOVERNANCE"
"4","7/19/2010","458","","2544","SOCIAL_WELFARE"
"3","7/4/2010","303","","2545","INTERGOVERNMENTAL_TRANSFERS"
"7","7/3/2014","1262","","2546","TRANSPORT_ROADS_HOUSEHOLD"
"1","3/25/2015","988","","2547","EDUCATION"
"5","1/1/2009","904","","2548","SOCIETY_DEFENCE"
"4","4/10/2011","33","","2549","SOCIAL_WELFARE"
"3","2/15/2017","444","","2550","INTERGOVERNMENTAL_TRANSFERS"
"4","11/13/2010","1126","","2551","SOCIAL_WELFARE"
"2","4/18/2015","1175","","2552","GOVERNANCE"
"1","3/28/2018","1897","","2553","EDUCATION"
"6","9/13/2010","1390","","2554","SPORT"
"5","3/21/2012","362","","2555","SOCIETY_DEFENCE"
"6","5/2/2013","941","","2556","SPORT"
"3","6/4/2018","815","","2557","INTERGOVERNMENTAL_TRANSFERS"
"1","10/9/2015","1157","","2558","EDUCATION"
"0","11/21/2018","824","","2559","ART"
"0","10/27/2009","1438","","2560","ART"
"5","8/11/2013","420","","2561","SOCIETY_DEFENCE"
"0","2/18/2011","1519","","2562","ART"
"2","6/21/2009","927","","2563","GOVERNANCE"
"4","11/23/2015","1388","","2564","SOCIAL_WELFARE"
"3","7/6/2010","366","","2565","INTERGOVERNMENTAL_TRANSFERS"
"1","11/15/2009","989","","2566","EDUCATION"
"3","1/27/2016","282","","2567","INTERGOVERNMENTAL_TRANSFERS"
"4","2/4/2016","1658","","2568","SOCIAL_WELFARE"
"2","3/7/2013","583","","2569","GOVERNANCE"
"1","7/26/2016","735","","2570","EDUCATION"
"8","6/18/2012","1122","","2571","UTILITIES"
"4","1/5/2017","72","","2572","SOCIAL_WELFARE"
"8","3/10/2011","486","","2573","UTILITIES"
"6","6/3/2016","1743","","2574","SPORT"
"2","1/16/2014","877","","2575","GOVERNANCE"
"7","4/21/2015","876","","2576","TRANSPORT_ROADS_HOUSEHOLD"
"1","3/24/2016","1434","","2577","EDUCATION"
"5","11/2/2010","1889","","2578","SOCIETY_DEFENCE"
"2","4/14/2017","1538","","2579","GOVERNANCE"
"3","5/4/2014","4","","2580","INTERGOVERNMENTAL_TRANSFERS"
"2","7/8/2018","1911","","2581","GOVERNANCE"
"7","8/13/2009","1740","","2582","TRANSPORT_ROADS_HOUSEHOLD"
"6","7/16/2009","2000","","2583","SPORT"
"7","9/26/2018","411","","2584","TRANSPORT_ROADS_HOUSEHOLD"
"2","5/16/2015","1478","","2585","GOVERNANCE"
"0","5/10/2012","914","","2586","ART"
"7","7/13/2015","110","","2587","TRANSPORT_ROADS_HOUSEHOLD"
"1","11/4/2013","1306","","2588","EDUCATION"
"4","4/12/2009","1289","","2589","SOCIAL_WELFARE"
"3","3/3/2018","1002","","2590","INTERGOVERNMENTAL_TRANSFERS"
"4","5/26/2010","148","","2591","SOCIAL_WELFARE"
"2","4/15/2011","1195","","2592","GOVERNANCE"
"3","11/17/2014","75","","2593","INTERGOVERNMENTAL_TRANSFERS"
"3","6/16/2016","1585","","2594","INTERGOVERNMENTAL_TRANSFERS"
"4","1/14/2013","1413","","2595","SOCIAL_WELFARE"
"0","2/24/2018","528","","2596","ART"
"7","10/13/2014","1778","","2597","TRANSPORT_ROADS_HOUSEHOLD"
"3","8/18/2011","866","","2598","INTERGOVERNMENTAL_TRANSFERS"
"5","10/21/2010","92","","2599","SOCIETY_DEFENCE"
"1","9/21/2016","117","","2600","EDUCATION"
"2","1/8/2017","603","","2601","GOVERNANCE"
"5","1/17/2018","980","","2602","SOCIETY_DEFENCE"
"6","11/7/2011","779","","2603","SPORT"
"1","3/3/2016","173","","2604","EDUCATION"
"3","3/23/2012","1942","","2605","INTERGOVERNMENTAL_TRANSFERS"
"2","5/28/2015","202","","2606","GOVERNANCE"
"4","3/11/2018","708","","2607","SOCIAL_WELFARE"
"3","1/21/2018","1101","","2608","INTERGOVERNMENTAL_TRANSFERS"
"3","1/7/2011","422","","2609","INTERGOVERNMENTAL_TRANSFERS"
"1","7/10/2013","35","","2610","EDUCATION"
"8","3/18/2015","304","","2611","UTILITIES"
"0","5/19/2014","1553","","2612","ART"
"2","5/26/2009","1145","","2613","GOVERNANCE"
"2","7/21/2009","382","","2614","GOVERNANCE"
"3","6/25/2009","584","","2615","INTERGOVERNMENTAL_TRANSFERS"
"0","6/26/2015","806","","2616","ART"
"2","3/14/2011","1169","","2617","GOVERNANCE"
"6","4/15/2012","469","","2618","SPORT"
"8","8/25/2017","900","","2619","UTILITIES"
"6","10/10/2013","1883","","2620","SPORT"
"3","11/7/2018","528","","2621","INTERGOVERNMENTAL_TRANSFERS"
"0","7/18/2011","1937","","2622","ART"
"1","10/3/2013","739","","2623","EDUCATION"
"7","7/26/2009","72","","2624","TRANSPORT_ROADS_HOUSEHOLD"
"4","8/2/2014","1850","","2625","SOCIAL_WELFARE"
"3","4/19/2012","549","","2626","INTERGOVERNMENTAL_TRANSFERS"
"1","11/27/2017","1121","","2627","EDUCATION"
"3","8/7/2015","727","","2628","INTERGOVERNMENTAL_TRANSFERS"
"8","2/10/2014","1205","","2629","UTILITIES"
"5","5/2/2016","735","","2630","SOCIETY_DEFENCE"
"1","1/10/2010","281","","2631","EDUCATION"
"7","5/11/2010","1594","","2632","TRANSPORT_ROADS_HOUSEHOLD"
"6","11/5/2014","1092","","2633","SPORT"
"3","9/20/2016","623","","2634","INTERGOVERNMENTAL_TRANSFERS"
"0","5/16/2011","1982","","2635","ART"
"7","1/25/2009","1631","","2636","TRANSPORT_ROADS_HOUSEHOLD"
"8","5/5/2009","1490","","2637","UTILITIES"
"1","9/8/2011","1950","","2638","EDUCATION"
"7","5/26/2015","1873","","2639","TRANSPORT_ROADS_HOUSEHOLD"
"8","2/8/2014","684","","2640","UTILITIES"
"6","3/4/2013","574","","2641","SPORT"
"6","4/16/2016","525","","2642","SPORT"
"3","1/18/2015","708","","2643","INTERGOVERNMENTAL_TRANSFERS"
"8","4/20/2012","1367","","2644","UTILITIES"
"8","2/14/2016","1479","","2645","UTILITIES"
"3","4/13/2012","602","","2646","INTERGOVERNMENTAL_TRANSFERS"
"3","3/21/2018","650","","2647","INTERGOVERNMENTAL_TRANSFERS"
"7","11/4/2017","1456","","2648","TRANSPORT_ROADS_HOUSEHOLD"
"7","6/21/2018","1645","","2649","TRANSPORT_ROADS_HOUSEHOLD"
"5","6/28/2012","1114","","2650","SOCIETY_DEFENCE"
"0","6/14/2013","665","","2651","ART"
"5","3/3/2018","1488","","2652","SOCIETY_DEFENCE"
"4","8/25/2015","1664","","2653","SOCIAL_WELFARE"
"0","7/18/2017","726","","2654","ART"
"8","7/4/2017","330","","2655","UTILITIES"
"5","5/17/2017","1649","","2656","SOCIETY_DEFENCE"
"3","8/19/2013","342","","2657","INTERGOVERNMENTAL_TRANSFERS"
"6","6/28/2018","253","","2658","SPORT"
"1","3/11/2015","678","","2659","EDUCATION"
"2","5/7/2011","391","","2660","GOVERNANCE"
"2","10/15/2010","791","","2661","GOVERNANCE"
"5","4/9/2017","813","","2662","SOCIETY_DEFENCE"
"6","6/12/2015","994","","2663","SPORT"
"2","1/24/2018","328","","2664","GOVERNANCE"
"0","1/10/2010","1676","","2665","ART"
"7","11/4/2010","497","","2666","TRANSPORT_ROADS_HOUSEHOLD"
"3","10/17/2015","1616","","2667","INTERGOVERNMENTAL_TRANSFERS"
"1","10/7/2016","1803","","2668","EDUCATION"
"6","7/21/2011","1884","","2669","SPORT"
"5","2/8/2013","372","","2670","SOCIETY_DEFENCE"
"7","11/18/2018","1002","","2671","TRANSPORT_ROADS_HOUSEHOLD"
"6","2/28/2012","653","","2672","SPORT"
"5","1/25/2017","1143","","2673","SOCIETY_DEFENCE"
"3","7/25/2017","1322","","2674","INTERGOVERNMENTAL_TRANSFERS"
"7","7/17/2012","28","","2675","TRANSPORT_ROADS_HOUSEHOLD"
"5","6/9/2016","1367","","2676","SOCIETY_DEFENCE"
"4","5/8/2014","1741","","2677","SOCIAL_WELFARE"
"1","1/26/2018","639","","2678","EDUCATION"
"3","3/27/2011","1","","2679","INTERGOVERNMENTAL_TRANSFERS"
"3","4/24/2015","890","","2680","INTERGOVERNMENTAL_TRANSFERS"
"2","5/7/2012","453","","2681","GOVERNANCE"
"6","7/12/2009","1406","","2682","SPORT"
"3","2/28/2009","1492","","2683","INTERGOVERNMENTAL_TRANSFERS"
"6","11/7/2012","1064","","2684","SPORT"
"8","9/9/2018","1638","","2685","UTILITIES"
"8","6/25/2017","867","","2686","UTILITIES"
"0","3/24/2018","157","","2687","ART"
"4","10/26/2018","1678","","2688","SOCIAL_WELFARE"
"3","9/15/2009","5","","2689","INTERGOVERNMENTAL_TRANSFERS"
"8","11/16/2018","456","","2690","UTILITIES"
"3","9/26/2017","1679","","2691","INTERGOVERNMENTAL_TRANSFERS"
"7","10/23/2010","1688","","2692","TRANSPORT_ROADS_HOUSEHOLD"
"6","1/28/2011","394","","2693","SPORT"
"6","5/25/2014","558","","2694","SPORT"
"6","3/8/2016","760","","2695","SPORT"
"4","8/24/2014","318","","2696","SOCIAL_WELFARE"
"6","6/4/2013","6","","2697","SPORT"
"3","3/26/2018","1610","","2698","INTERGOVERNMENTAL_TRANSFERS"
"6","6/1/2011","1538","","2699","SPORT"
"2","7/1/2013","318","","2700","GOVERNANCE"
"7","5/13/2010","1282","","2701","TRANSPORT_ROADS_HOUSEHOLD"
"8","9/7/2016","1541","","2702","UTILITIES"
"6","2/6/2016","1550","","2703","SPORT"
"4","10/17/2014","128","","2704","SOCIAL_WELFARE"
"8","3/19/2017","539","","2705","UTILITIES"
"7","3/24/2017","467","","2706","TRANSPORT_ROADS_HOUSEHOLD"
"7","2/18/2009","757","","2707","TRANSPORT_ROADS_HOUSEHOLD"
"3","5/4/2009","278","","2708","INTERGOVERNMENTAL_TRANSFERS"
"0","4/26/2012","1777","","2709","ART"
"4","8/25/2011","972","","2710","SOCIAL_WELFARE"
"6","7/21/2010","988","","2711","SPORT"
"8","8/23/2017","862","","2712","UTILITIES"
"8","5/11/2018","1215","","2713","UTILITIES"
"3","2/1/2012","1399","","2714","INTERGOVERNMENTAL_TRANSFERS"
"1","7/12/2017","1053","","2715","EDUCATION"
"7","8/15/2015","951","","2716","TRANSPORT_ROADS_HOUSEHOLD"
"7","10/5/2015","1595","","2717","TRANSPORT_ROADS_HOUSEHOLD"
"0","3/5/2017","542","","2718","ART"
"5","2/24/2018","1285","","2719","SOCIETY_DEFENCE"
"7","5/14/2016","1399","","2720","TRANSPORT_ROADS_HOUSEHOLD"
"6","4/17/2017","1516","","2721","SPORT"
"2","6/19/2013","575","","2722","GOVERNANCE"
"3","5/27/2010","231","","2723","INTERGOVERNMENTAL_TRANSFERS"
"2","10/9/2012","1583","","2724","GOVERNANCE"
"1","2/17/2013","1663","","2725","EDUCATION"
"4","6/21/2016","648","","2726","SOCIAL_WELFARE"
"0","3/22/2017","1584","","2727","ART"
"0","5/8/2016","1335","","2728","ART"
"3","3/7/2014","443","","2729","INTERGOVERNMENTAL_TRANSFERS"
"5","8/14/2017","716","","2730","SOCIETY_DEFENCE"
"0","9/24/2011","791","","2731","ART"
"7","7/8/2018","473","","2732","TRANSPORT_ROADS_HOUSEHOLD"
"6","4/17/2017","1978","","2733","SPORT"
"6","6/2/2010","1158","","2734","SPORT"
"0","4/9/2010","1623","","2735","ART"
"6","5/1/2014","414","","2736","SPORT"
"0","5/27/2013","1671","","2737","ART"
"0","1/15/2012","408","","2738","ART"
"7","11/13/2013","629","","2739","TRANSPORT_ROADS_HOUSEHOLD"
"4","7/13/2011","836","","2740","SOCIAL_WELFARE"
"1","10/20/2018","842","","2741","EDUCATION"
"2","6/27/2014","802","","2742","GOVERNANCE"
"8","4/4/2011","658","","2743","UTILITIES"
"4","2/22/2009","816","","2744","SOCIAL_WELFARE"
"2","1/12/2011","849","","2745","GOVERNANCE"
"8","5/25/2011","1077","","2746","UTILITIES"
"3","8/12/2009","1592","","2747","INTERGOVERNMENTAL_TRANSFERS"
"3","10/21/2017","29","","2748","INTERGOVERNMENTAL_TRANSFERS"
"4","8/8/2009","602","","2749","SOCIAL_WELFARE"
"3","2/3/2009","137","","2750","INTERGOVERNMENTAL_TRANSFERS"
"7","1/13/2016","1272","","2751","TRANSPORT_ROADS_HOUSEHOLD"
"2","5/17/2013","725","","2752","GOVERNANCE"
"2","6/27/2011","1198","","2753","GOVERNANCE"
"8","11/14/2014","936","","2754","UTILITIES"
"5","11/24/2009","603","","2755","SOCIETY_DEFENCE"
"4","8/6/2013","1934","","2756","SOCIAL_WELFARE"
"8","8/24/2011","1540","","2757","UTILITIES"
"1","8/1/2015","1209","","2758","EDUCATION"
"1","11/28/2018","1087","","2759","EDUCATION"
"2","10/4/2012","250","","2760","GOVERNANCE"
"3","9/16/2010","950","","2761","INTERGOVERNMENTAL_TRANSFERS"
"3","2/16/2012","1089","","2762","INTERGOVERNMENTAL_TRANSFERS"
"3","10/10/2016","430","","2763","INTERGOVERNMENTAL_TRANSFERS"
"4","5/13/2016","1736","","2764","SOCIAL_WELFARE"
"7","8/21/2010","1188","","2765","TRANSPORT_ROADS_HOUSEHOLD"
"8","9/14/2014","1659","","2766","UTILITIES"
"3","3/16/2015","1923","","2767","INTERGOVERNMENTAL_TRANSFERS"
"7","9/11/2010","1211","","2768","TRANSPORT_ROADS_HOUSEHOLD"
"8","6/27/2016","9","","2769","UTILITIES"
"8","8/8/2010","1931","","2770","UTILITIES"
"1","11/11/2015","881","","2771","EDUCATION"
"3","10/5/2012","619","","2772","INTERGOVERNMENTAL_TRANSFERS"
"5","10/20/2009","173","","2773","SOCIETY_DEFENCE"
"3","3/26/2013","1759","","2774","INTERGOVERNMENTAL_TRANSFERS"
"5","7/5/2018","1489","","2775","SOCIETY_DEFENCE"
"5","2/9/2012","1203","","2776","SOCIETY_DEFENCE"
"5","10/17/2018","601","","2777","SOCIETY_DEFENCE"
"3","3/9/2016","721","","2778","INTERGOVERNMENTAL_TRANSFERS"
"2","10/6/2015","712","","2779","GOVERNANCE"
"6","7/3/2014","1805","","2780","SPORT"
"5","1/4/2013","1699","","2781","SOCIETY_DEFENCE"
"3","11/18/2015","195","","2782","INTERGOVERNMENTAL_TRANSFERS"
"4","1/12/2016","1567","","2783","SOCIAL_WELFARE"
"0","8/7/2013","272","","2784","ART"
"0","1/25/2017","1005","","2785","ART"
"8","10/10/2013","500","","2786","UTILITIES"
"2","5/17/2014","1826","","2787","GOVERNANCE"
"5","1/10/2009","1001","","2788","SOCIETY_DEFENCE"
"2","5/18/2018","55","","2789","GOVERNANCE"
"5","3/7/2017","1885","","2790","SOCIETY_DEFENCE"
"3","7/21/2016","854","","2791","INTERGOVERNMENTAL_TRANSFERS"
"0","11/10/2017","778","","2792","ART"
"3","8/5/2015","403","","2793","INTERGOVERNMENTAL_TRANSFERS"
"5","11/11/2010","315","","2794","SOCIETY_DEFENCE"
"0","2/18/2016","1028","","2795","ART"
"5","3/18/2010","1698","","2796","SOCIETY_DEFENCE"
"4","2/2/2018","1558","","2797","SOCIAL_WELFARE"
"7","10/21/2012","211","","2798","TRANSPORT_ROADS_HOUSEHOLD"
"0","7/16/2011","1375","","2799","ART"
"2","6/11/2017","667","","2800","GOVERNANCE"
"2","9/12/2009","537","","2801","GOVERNANCE"
"0","2/20/2010","208","","2802","ART"
"4","4/5/2010","566","","2803","SOCIAL_WELFARE"
"5","5/12/2010","230","","2804","SOCIETY_DEFENCE"
"2","6/4/2018","581","","2805","GOVERNANCE"
"4","3/12/2016","463","","2806","SOCIAL_WELFARE"
"0","10/10/2016","552","","2807","ART"
"2","1/10/2013","1575","","2808","GOVERNANCE"
"2","9/27/2009","1206","","2809","GOVERNANCE"
"1","1/22/2014","475","","2810","EDUCATION"
"1","5/25/2018","1952","","2811","EDUCATION"
"1","7/22/2018","332","","2812","EDUCATION"
"5","4/17/2013","1914","","2813","SOCIETY_DEFENCE"
"2","6/13/2013","612","","2814","GOVERNANCE"
"2","10/9/2009","1992","","2815","GOVERNANCE"
"7","3/3/2015","437","","2816","TRANSPORT_ROADS_HOUSEHOLD"
"2","2/7/2016","1075","","2817","GOVERNANCE"
"3","10/24/2009","9","","2818","INTERGOVERNMENTAL_TRANSFERS"
"7","1/19/2013","1887","","2819","TRANSPORT_ROADS_HOUSEHOLD"
"2","6/27/2010","1092","","2820","GOVERNANCE"
"5","3/11/2016","1862","","2821","SOCIETY_DEFENCE"
"2","11/12/2018","1715","","2822","GOVERNANCE"
"7","6/8/2016","1111","","2823","TRANSPORT_ROADS_HOUSEHOLD"
"6","5/9/2016","860","","2824","SPORT"
"0","6/24/2016","390","","2825","ART"
"5","10/4/2015","1701","","2826","SOCIETY_DEFENCE"
"5","8/17/2013","1194","","2827","SOCIETY_DEFENCE"
"5","10/8/2010","1042","","2828","SOCIETY_DEFENCE"
"2","4/22/2009","812","","2829","GOVERNANCE"
"7","3/16/2010","1971","","2830","TRANSPORT_ROADS_HOUSEHOLD"
"6","11/5/2013","1880","","2831","SPORT"
"1","6/27/2009","549","","2832","EDUCATION"
"2","7/4/2010","558","","2833","GOVERNANCE"
"5","10/21/2013","1182","","2834","SOCIETY_DEFENCE"
"0","2/12/2009","530","","2835","ART"
"5","8/27/2010","1250","","2836","SOCIETY_DEFENCE"
"6","10/28/2015","271","","2837","SPORT"
"0","7/25/2013","1102","","2838","ART"
"4","7/12/2011","592","","2839","SOCIAL_WELFARE"
"5","11/23/2017","1123","","2840","SOCIETY_DEFENCE"
"0","8/18/2012","320","","2841","ART"
"6","4/24/2015","941","","2842","SPORT"
"3","1/28/2012","1467","","2843","INTERGOVERNMENTAL_TRANSFERS"
"7","8/13/2012","1135","","2844","TRANSPORT_ROADS_HOUSEHOLD"
"1","1/14/2016","182","","2845","EDUCATION"
"8","3/4/2012","706","","2846","UTILITIES"
"8","1/12/2015","1883","","2847","UTILITIES"
"1","8/11/2013","726","","2848","EDUCATION"
"2","8/21/2017","1085","","2849","GOVERNANCE"
"1","3/1/2012","688","","2850","EDUCATION"
"8","6/25/2010","1523","","2851","UTILITIES"
"7","9/21/2009","195","","2852","TRANSPORT_ROADS_HOUSEHOLD"
"2","8/16/2014","806","","2853","GOVERNANCE"
"8","2/24/2013","1052","","2854","UTILITIES"
"6","8/18/2018","203","","2855","SPORT"
"8","7/9/2017","435","","2856","UTILITIES"
"3","1/26/2012","1691","","2857","INTERGOVERNMENTAL_TRANSFERS"
"2","4/16/2012","168","","2858","GOVERNANCE"
"6","2/16/2013","544","","2859","SPORT"
"8","5/12/2010","644","","2860","UTILITIES"
"2","6/1/2009","1486","","2861","GOVERNANCE"
"7","6/6/2011","1218","","2862","TRANSPORT_ROADS_HOUSEHOLD"
"1","3/20/2017","564","","2863","EDUCATION"
"7","5/16/2018","1785","","2864","TRANSPORT_ROADS_HOUSEHOLD"
"8","4/17/2017","744","","2865","UTILITIES"
"6","10/10/2012","1114","","2866","SPORT"
"7","7/27/2014","1033","","2867","TRANSPORT_ROADS_HOUSEHOLD"
"7","9/6/2018","1347","","2868","TRANSPORT_ROADS_HOUSEHOLD"
"3","10/16/2013","1729","","2869","INTERGOVERNMENTAL_TRANSFERS"
"5","4/3/2014","121","","2870","SOCIETY_DEFENCE"
"2","4/2/2009","769","","2871","GOVERNANCE"
"3","5/10/2013","936","","2872","INTERGOVERNMENTAL_TRANSFERS"
"3","10/9/2018","1741","","2873","INTERGOVERNMENTAL_TRANSFERS"
"2","9/11/2017","834","","2874","GOVERNANCE"
"0","2/3/2017","40","","2875","ART"
"8","8/26/2013","443","","2876","UTILITIES"
"6","2/11/2018","41","","2877","SPORT"
"4","11/1/2018","201","","2878","SOCIAL_WELFARE"
"3","8/16/2011","15","","2879","INTERGOVERNMENTAL_TRANSFERS"
"3","5/23/2014","553","","2880","INTERGOVERNMENTAL_TRANSFERS"
"2","10/27/2014","1530","","2881","GOVERNANCE"
"5","10/12/2016","120","","2882","SOCIETY_DEFENCE"
"1","9/8/2010","1230","","2883","EDUCATION"
"3","2/18/2010","61","","2884","INTERGOVERNMENTAL_TRANSFERS"
"7","8/7/2014","1394","","2885","TRANSPORT_ROADS_HOUSEHOLD"
"2","7/22/2010","431","","2886","GOVERNANCE"
"7","6/15/2011","1582","","2887","TRANSPORT_ROADS_HOUSEHOLD"
"2","8/19/2010","647","","2888","GOVERNANCE"
"5","1/15/2014","1582","","2889","SOCIETY_DEFENCE"
"8","9/20/2014","809","","2890","UTILITIES"
"6","2/7/2012","1373","","2891","SPORT"
"0","7/3/2012","1239","","2892","ART"
"7","11/13/2018","1142","","2893","TRANSPORT_ROADS_HOUSEHOLD"
"7","4/28/2011","407","","2894","TRANSPORT_ROADS_HOUSEHOLD"
"2","2/11/2017","1532","","2895","GOVERNANCE"
"6","4/28/2017","171","","2896","SPORT"
"1","7/3/2016","1697","","2897","EDUCATION"
"8","9/22/2009","1211","","2898","UTILITIES"
"7","10/13/2018","559","","2899","TRANSPORT_ROADS_HOUSEHOLD"
"7","4/21/2014","277","","2900","TRANSPORT_ROADS_HOUSEHOLD"
"3","11/13/2012","1478","","2901","INTERGOVERNMENTAL_TRANSFERS"
"5","10/21/2017","601","","2902","SOCIETY_DEFENCE"
"8","1/27/2013","542","","2903","UTILITIES"
"2","9/19/2014","1605","","2904","GOVERNANCE"
"7","2/28/2015","1880","","2905","TRANSPORT_ROADS_HOUSEHOLD"
"1","11/27/2012","516","","2906","EDUCATION"
"8","3/21/2010","1227","","2907","UTILITIES"
"7","8/8/2009","253","","2908","TRANSPORT_ROADS_HOUSEHOLD"
"3","10/24/2011","110","","2909","INTERGOVERNMENTAL_TRANSFERS"
"3","8/15/2012","376","","2910","INTERGOVERNMENTAL_TRANSFERS"
"4","2/17/2014","1257","","2911","SOCIAL_WELFARE"
"4","11/28/2013","922","","2912","SOCIAL_WELFARE"
"6","7/14/2010","802","","2913","SPORT"
"5","7/16/2011","1461","","2914","SOCIETY_DEFENCE"
"1","6/24/2011","627","","2915","EDUCATION"
"8","4/14/2016","223","","2916","UTILITIES"
"1","9/1/2015","121","","2917","EDUCATION"
"0","4/21/2018","240","","2918","ART"
"7","4/8/2018","1734","","2919","TRANSPORT_ROADS_HOUSEHOLD"
"2","10/4/2018","990","","2920","GOVERNANCE"
"1","9/13/2013","778","","2921","EDUCATION"
"8","5/7/2011","1978","","2922","UTILITIES"
"6","5/21/2009","1257","","2923","SPORT"
"0","5/24/2014","1106","","2924","ART"
"0","2/23/2009","1168","","2925","ART"
"6","2/14/2016","1488","","2926","SPORT"
"0","1/9/2010","1332","","2927","ART"
"4","3/22/2016","1051","","2928","SOCIAL_WELFARE"
